date,open,high,low,close,volume,volume_cny
2021-10-28,19.57,19.71,19.14,19.49,619010.89,121194.61
2021-10-29,19.4,19.51,19.09,19.27,539929.76,105276.03
2021-11-01,19.1,19.5,18.78,19.16,841490.2,162676.2
2021-11-02,19.14,19.26,17.76,17.95,1997690.5,369135.63
2021-11-03,17.87,18.01,17.62,17.8,1114972.04,200932.51
2021-11-04,17.85,17.87,17.57,17.64,983410.98,176067.19
2021-11-05,17.62,17.77,17.34,17.41,1096039.88,194241.56
2021-11-08,17.39,17.58,17.13,17.19,1376814.82,240641.78
2021-11-09,17.25,17.42,17.03,17.3,1240572.75,216319.31
2021-11-10,17.23,17.24,16.93,17.17,1220850.88,210973.51
2021-11-11,17.12,18.2,17.09,18.12,2084729.0,375241.39
2021-11-12,18.08,18.4,17.88,18.04,957546.46,175307.27
2021-11-15,18.12,18.4,17.97,18.2,655089.99,120376.41
2021-11-16,18.13,18.31,17.94,17.99,601110.48,109911.34
2021-11-17,17.92,18.07,17.75,17.88,664640.38,120385.92
2021-11-18,17.86,17.89,17.5,17.57,799843.77,143005.83
2021-11-19,17.57,18.01,17.47,17.92,786371.56,141450.64
2021-11-22,17.8,18.02,17.67,17.89,738617.8,133776.82
2021-11-23,17.88,18.12,17.45,17.65,1235977.96,221381.76
2021-11-24,17.54,17.72,17.43,17.64,741310.84,131677.44
2021-11-25,17.51,17.56,17.4,17.45,603532.7,106822.13
2021-11-26,17.39,17.44,17.29,17.35,694499.88,121993.73
2021-11-29,17.18,17.34,17.13,17.28,512594.71,89510.6
2021-11-30,17.31,17.45,17.12,17.21,733616.06,128038.46
2021-12-01,17.2,17.54,17.14,17.41,706925.19,124366.68
2021-12-02,17.39,17.58,17.14,17.36,994798.35,174916.46
2021-12-03,17.41,17.47,17.18,17.42,707599.74,124237.51
2021-12-06,17.62,18.33,17.57,17.87,2145625.28,389638.52
2021-12-07,18.07,18.44,17.92,18.23,1616443.87,297996.9
2021-12-08,18.22,18.32,17.93,18.24,980281.18,179869.11
2021-12-09,18.26,18.83,18.14,18.47,1455886.68,272666.34
2021-12-10,18.28,18.47,18.04,18.15,989255.13,182407.65
2021-12-13,18.24,18.65,17.95,18.04,1314490.27,242780.37
2021-12-14,17.93,17.94,17.29,17.35,1937208.9,343415.63
2021-12-15,17.28,17.43,17.17,17.32,1294627.41,226982.1
2021-12-16,17.32,17.5,17.23,17.49,819479.51,144548.34
2021-12-17,17.47,17.52,17.34,17.34,602369.67,106287.55
2021-12-20,17.33,17.42,17.22,17.29,746435.2,130902.93
2021-12-21,17.26,17.48,17.25,17.36,893734.04,157289.56
2021-12-22,17.39,17.41,17.07,17.16,976927.75,170177.26
2021-12-23,17.17,17.2,16.98,17.09,1059575.94,183112.27
2021-12-24,17.1,17.12,16.98,17.08,488251.49,84310.97
2021-12-27,17.1,17.12,16.93,16.99,731118.99,126045.53
2021-12-28,16.99,17.1,16.86,16.94,1126638.91,193446.11
2021-12-29,16.93,16.93,16.47,16.52,1469373.98,248053.46
2021-12-30,16.53,16.72,16.49,16.59,796663.6,134237.42
2021-12-31,16.63,16.67,16.17,16.25,1750760.89,289961.71
2022-01-04,16.25,16.43,15.95,16.43,1169259.33,191888.71
2022-01-05,16.35,16.99,16.32,16.92,1961998.17,334412.46
2022-01-06,16.88,17.04,16.77,16.89,1107885.19,189653.58
2022-01-07,16.87,17.05,16.83,16.97,1126630.7,193771.1
2022-01-10,17.06,17.19,16.8,16.96,909774.01,156341.46
2022-01-11,17.03,17.31,16.91,17.18,1581999.4,275248.54
2022-01-12,17.18,17.22,16.67,16.77,1502163.55,256126.64
2022-01-13,16.68,17.01,16.59,16.75,909422.65,155031.92
2022-01-14,16.77,16.79,16.07,16.1,2103094.91,345995.08
2022-01-17,16.12,16.25,15.89,15.99,1143689.43,185563.38
2022-01-18,16.02,16.31,15.93,16.29,1152974.31,189109.46
2022-01-19,16.31,16.46,16.13,16.27,988391.85,163097.36
2022-01-20,16.24,17.23,16.19,17.1,3031193.77,519580.56
2022-01-21,17.22,17.33,16.98,17.12,1481682.95,257511.51
2022-01-24,17.11,17.15,16.75,16.97,874770.87,150139.03
2022-01-25,16.85,16.85,16.58,16.62,1093283.97,185199.9
2022-01-26,16.72,16.87,16.31,16.42,984975.22,164638.5
2022-01-27,16.27,16.31,16.02,16.07,1024643.11,167726.13
2022-01-28,16.16,16.22,15.59,15.6,1675563.67,269547.03
2022-02-07,15.79,16.18,15.66,16.16,1515476.3,245179.85
2022-02-08,16.07,16.74,16.03,16.6,1754695.28,295030.9
2022-02-09,16.69,16.77,16.48,16.63,1051161.66,177425.36
2022-02-10,16.54,16.8,16.44,16.76,784557.35,132684.89
2022-02-11,16.8,17.11,16.8,16.87,1078139.14,185216.75
2022-02-14,16.87,16.92,16.28,16.35,1150658.51,191761.34
2022-02-15,16.27,16.44,15.87,16.05,1208264.37,196898.54
2022-02-16,16.12,16.3,15.98,16.18,782399.59,128223.42
2022-02-17,16.16,16.32,16.09,16.19,794501.84,130651.44
2022-02-18,16.09,16.54,16.08,16.54,802499.4,133023.34
2022-02-21,16.43,16.44,16.09,16.28,800994.55,131602.37
2022-02-22,16.08,16.21,15.93,16.0,894956.73,145415.62
2022-02-23,16.07,16.08,15.81,15.96,886742.44,143128.99
2022-02-24,15.9,15.92,15.57,15.68,1324086.85,211284.26
2022-02-25,15.76,15.85,15.64,15.67,726397.07,115789.03
2022-02-28,15.67,15.69,15.39,15.52,723990.45,113715.41
